year,school,course,intake
2016,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN BUSINESS MANAGEMENT,322
2016,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN MARKETING,72
2016,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN BANKING & FINANCE,120
2016,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN FOOD & BEVERAGE BUSINESS,60
2016,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN MASS MEDIA MANAGEMENT,52
2016,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,115
2016,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN FUND MANAGEMENT & ADMINISTRATION,52
2016,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN ACCOUNTANCY & FINANCE,144
2016,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,50
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,45
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,48
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN PHARMACEUTICAL SCIENCES,60
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,100
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,60
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN FOOD SCIENCE & NUTRITION,55
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN MEDICINAL CHEMISTRY,45
2016,SCHOOL OF DESIGN,DIPLOMA IN VISUAL COMMUNICATION,73
2016,SCHOOL OF DESIGN,DIPLOMA IN SPATIAL DESIGN,73
2016,SCHOOL OF DESIGN,DIPLOMA IN INDUSTRIAL DESIGN,50
2016,SCHOOL OF ENGINEERING,COMMON ENGINEERING PROGRAMME,314
2016,SCHOOL OF ENGINEERING,DIPLOMA IN BIOMEDICAL ENGINEERING,64
2016,SCHOOL OF ENGINEERING,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,64
2016,SCHOOL OF ENGINEERING,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,200
